,source,target,lang,translation_direction
248,This flight is not the only option if you want to skip the South Pacific and the west coast of South America. (see below),অদোম্না খা পেসিফিক অমসুং খা অমেরিকা গী নোংচুপ থংবা কোস্ত অসি কাল্লগা চৎনবগী পাম্বৈ অসি মসিখক্তা নত্তে।(মখাদা য়েংবিয়ু),mni,enxx
249,The Irish government is stressing the urgency of parliamentary legislation to rectify the situation.,আইরিশ সরকারনা ফীভম অসি শেমদোক্নবা পার্লিয়ামেন্তরী লেজিস্লেসন অথুবদা মথৌ তারিবা অসিদা মীৎয়েং চংলি।,mni,enxx
250,"""It's going to behave like water. It's transparent just the way water is.",মসি ঈশিংগুম্না তৌগনি।মসি ঈশিংগুম্না মনুং মপান ফাওনা উবা ঙম্বা ওই।,mni,enxx
251,"A hostel collapsed in Mecca, the holy city of Islam at about 10 o'clock this morning local time.","লোকেল তাইমদা ঙসি অয়ুক্কী পুং 10 তাবা মতমদা ইস্লামগী শেংলবা সহর, মক্কাদা হোস্তেল অমা নীংখাইরকখি।",mni,enxx
252,Surgeons had knowledge of various sedatives including morphine from extracts of poppy seeds and scopolamine from herbane seeds.,সর্জনশিং অদু পোপ্পী মরুদগী মোর্ফিন শুংবা অমসুং হর্বেইন মরুদগী স্কোপোলামাইন শুংবা য়াওনা মখল কয়াগী সেদেতিবশিংগী মতাংদা থোইদোক-হেন্দোক্না খং-হৈরম্মী।,mni,enxx
253,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","পুং 8:46 am চপ চানা তাবা মতমদা, শহর শিনবা থুংবা তুমিন্না লৈখিদুনা অহানবা জেৎনা মদুগী পান্দমদা থোমখিবা চপ চাবা মতম তাকখি।",mni,enxx
254,"In short, using your car is a great way to take a road trip but seldom in itself a way to ""camp"".","শম্না হায়রবদা, অদোমগী কার থৌদুনা রোদ ত্রিপ অমা চৎপা হায়বা অসি খ্বাইদগী ফবা পাম্বৈ অমনি অদুবু মসিদা অদুমক ""কেম্প"" তৌনবা মখল অমসু ওইরি।",mni,enxx
255,Local media reports an airport fire vehicle rolled over while responding.,তেংবাংবগী থৌওংদা এয়রপোর্তকী ফায়র ভেহিকল অমা লোংনা ওনখি হায়না লোকেল মীদিয়ানা পাউদমখি।,mni,enxx
256,"If you live in a city with a varied drinking culture, go to bars or pubs in neighborhoods you don't frequent.","থক-চাবগী খেন্নবা চৎনবী য়াম্না লৈবা শহরদা অদোম্না লৈবা থোক্লগদি, অদোম্না তোয়না চত্তবা অনকপা মফমদা লৈবা বার নত্ত্রগা পবতা চৎলু।",mni,enxx
257,This type of thinking is associated with certain science or standard procedures.,অসিগুম্বা ৱাখল খনবগী থৌওংগা অখন্নবা সাইন্স নত্ত্রগা কাঙলোন চুম্না পাংথোক্নবা থবকশিংগা মরী লৈনৈ।,mni,enxx
258,"Animals are found all over the earth. They dig in the ground, swim in the oceans, and fly in the sky.","শাশিং অসি পৃথিবী শিনবা থুংবদা ফংই।মখোয়না লৈমায়দা হুৎলি, সমুদ্রদা ইরোই অমসুং অতিয়াদা পাই।",mni,enxx
259,Permits must be reserved in advance. You must have a permit to stay overnight at Sirena.,মাংজৌননা পর্মিতশিং লৌবা মথৌ তাই।অদোম্না সিরেনাদা অহিং অমা লৈনবা পর্মিত অমা পাইবা তাই।,mni,enxx
260,"That said, expect to be out of breath, and take care in the steeper portions, especially when wet, as it can become dangerous quickly.","মসিনা হায়, শ্বর হোনবা ৱাবা য়াই, অমসুং অঙম্বা শরুকশিংদা চেকশিনবীয়ধ, মরু ওইনা চোৎলবদি মসি থুনা খুদোংথিনীংঙাই ওই।",mni,enxx
261,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","মসিগী মতু নীংথিনা চোম্বা, অতোপ্পা জীববু চিঞ্জাক্কীদমক্তা হাৎপা ঈ শাবা উচেক মখল অসি ভেলোসিরেপ্তরগুম্না মখুৎ অনিনা মখোংগুম্না য়ুংখৎলগা চৎলি হায়না থাজনরম্মি।",mni,enxx
262,Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition.,সিখ লাইনিং অসি ভারৎ মাহাদেশতগী হৌরকখিবা লাইনিং অমনি।মসি 15 শুবা চহিচাদা হিন্দু লাইনিংদগী তোখায়রকপা লাইনিং কাংলুপ অমনা পঞ্জাব হায়রিবা মফম অসিদগী হৌদোক্লকখিবনি।,mni,enxx
263,"As of the night of August 9, the eye of Morakot was about seventy kilometres away from the Chinese province of Fujian.",ওগস্ত 9গী নুমিদাং ফাওবদা মোরকোতকী ময়োল (আই) অসি চাইনীজ প্রোভিন্স ফুজিয়নদগী কিলোমিতর হুম্ফু-তরা লাপনা লৈখি।,mni,enxx
264,"If just taking a photo of something isn't allowed, then you shouldn't even think of recording a video of it.","করিগুম্বা অমগী ফোতো নম্বসি য়াদ্রবদি, মদুগী ভিদিও নমগে হায়বসি অদোম্না খল্লোইদবনি।",mni,enxx
265,In the last years of the 18th century the Vietnamese also invaded Cambodia.,18শুবা চহিগী অরোইবা চহিদা ভিএৎনামিসশিংনা কেম্বোদিয়া লৌশিনখি।,mni,enxx
266,"Some medium-format film cameras use a 6 by 6 cm format, more precisely a 56 by 56 mm negative.","মীদিয়ম-ফোর্মেত ফিল্মগী কেমেরা খরনা 6 বাই 6 cmগী ফোর্মেৎ শীজিন্নৈ, অয়াম্বনা 56 বাই 56 mmগী নেগেতিব পী।",mni,enxx
267,"We have a year-long financial crisis, which has had its most acute moment in the past two months, and I think now the financial markets are beginning to recover."""," ঐখোয়দা চহি অমা হেন্না শাংনা শেল থুমগী অৱাবা নংখি, হায়রিবসি হৌখিবা থা অনিরোম অসিদা হেন্না ফিভম শোকচিনলকখি, অমসুং ঐহাক্না খনলি মদুদি হৌজিক্তি শেলথুমগী কৈথেলশিং অসি ফীভম ফগৎলক্লে।",mni,enxx
268,Volunteering while travelling is a great way to make a difference but it's not just about giving.,লমকোয়রিঙৈ মনুংদা করিগুম্বা অমা তৌগে হায়না ইশানা চোংথোকপনা তোঙানবা অমা ওইহনবা ঙম্মি অমসুং মসিদি করিগুম্বা অমা পীবা খক্তগী মওংখকসু ওইদে।,mni,enxx
269,There are many things you have to take into consideration before and when you travel somewhere.,অদোম্না করিগুম্বা মফম খরদা কোয়থোকপা মতমদা অমসুং চৎত্রিঙৈদা খঙজিলহৌগদবা ৱাফম অমসুং পুক্নিংদা থমগদবা ৱাফম কয়া লৈরি।,mni,enxx
270,"Now for Japan. Japan was an island country, just like Britain.",হৌজিক্তি জপানগী অমুক লাকলসি।জপান অসি ব্রিতেনগুম্বা ঈথৎকি লৈবাক অমনি।,mni,enxx
271,"The Twin Otter had been trying to land at Kokoda yesterday as Airlines PNG Flight CG4684, but had aborted once already.",এয়র্লাইন্স PNG ফ্লাইত CG4684 ওইনা পাইরকখিবা ত্বিন ওত্তর অদু ঙরাং কোকোদাদা তানবা হোৎনখি অদুবু মমাংদা অমুকসু তাহনখিদে।,mni,enxx
272,"Moose (also known as elk) aren't inherently aggressive, but will defend themselves if they perceive a threat.","মুজ (এল্ক হায়নসু খঙনবা) অসি মশাগী ওইনা শাথিগনদে, অদুবু করিগুম্বা খুদোংথিবা অমা থোরক্কদবা ওইরবদি মখোয় মশানা ঙাকথোকচৈ।",mni,enxx
273,MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,মেত্রোরেল অসিদা কেপ তাউনগী অকোইবদা লৈরিবা কম্ম্যুতর ত্রেনদা ক্লাস অনি লৈঃ মেত্রোপ্লস (ফর্স্ত ক্লাস হায়নসু খঙনবা) অমসুং মেত্রো (থার্দ ক্লাস কৌবা)।,mni,enxx
274,The typhoon is estimated to be moving toward China at eleven kph.,তাইফুন অদু চীনা তম্না পুংদা কিমি তরামাথোইগী চাংদা চংশিল্লি হায়না পান্নখি।,mni,enxx
275,"Phnom Krom, 12 km southwest of Siem Reap. This hilltop temple was built at the end of the 9th century, during the reign of King Yasovarman.",সিএম রীপকী খা নোংচুপতা 12 KM চৎলগা লৈবা ফনোম ক্রোম।মসিগী চিং মথক্তা লৈবা লাইশঙ অসি নিংথৌ য়সোবর্মননা পাল্লিঙৈ মতমগী 9শুবা চহিচা লোইশিল্লকপদা শাখিবনি।,mni,enxx
276,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,জেফ ৱেস অমসুং ভিক্তিম মাপনগী মনুংদগী অহুমগী মথৌ-মঙম পাংথোকপা অসিদা মার্চ 21দা স্কুলদা নোংমৈ কাপ্পগী থৌদোক্কা মরী লৈননা মহৈরোই অমা ফারে হায়না রেদ লেক কম্ম্যুনিতীদা পাউ শন্দোকখ্রে।,mni,enxx
277,Convergent thinking patterns are problem solving techniques that unite different ideas or fields to find a solution.,পুনশিন্নরগা ৱাখল খনমিন্নবগী মওং-মতৌ অসি ৱারোইশিন অমা পুরক্নবগীদমক তোঙান-তোঙানবা ৱাখল্লোন নত্ত্রগা হীরমশিংবু পুনশিন্নদুনা খুদোংচাদবা কোকহন্নবগী থৌওংনি।,mni,enxx
278,Both golf and rugby are set to return to the Olympic Games.,গোল্ফ অমসুং রগবী অনিমক ওলিম্পিক্স গেম্সতা অমুক হল্লক্নবা শেম শারে।,mni,enxx
279,"Nadia, born on September 17, 2007, by Cesarean section at a maternity clinic in Aleisk, Russia, weighed in at a massive 17 pounds 1 ounce.","রুসিয়াগী অলেস্কতা লৈবা মেতর্নিতী ক্লিনিক অমদা সেপ্তেম্বর 17, 2007দা সিজরিয়ন সেক্সন তৌদুনা পোকখিবা নদিয়া অসি অঙকপা ফংনা পাউন্দ 17কা আউন্স 1 লুমখি।",mni,enxx
280,It can also be a good way to stretch a budget to allow a longer stay somewhere since many volunteer jobs provide room and board and a few pay a small salary.,"তেংবাংগী থবক কয়া অমা পাংথোকপনা লৈফম চাফমসু ফংহনবতা নত্তনা শেল খরা তানবসু ঙম্মি, মরম অদুনা মসিনা করিগুম্বা মফম অমদা শাংথনা লৈবা য়ানবা পাম্বৈ অমসু পী।",mni,enxx
281,"Its remnants produced showers across most of the islands, though as of yet, no damage or flooding has been reported.",মসিগী মতুং তারকপা ওইনা ঈথৎ অয়াম্বদা নোং চুখি অদুবু হৌজিক ফাওবগী ওইনা অমাং অতা নত্ত্রগা ঈচাও থোকপগী রিপোর্ত তৌরকপা লৈত্রি।,mni,enxx
282,He emailed students at the local university and received an overwhelming number of offers for free accommodation.,মহাক্না লোকেল য়ুনিভর্সিতীগী মহৈরোয়শিংদা ইমেল থাখি অমসুং লেম্না লৈফম পীনবা মশিং য়াম্লবা ওফর কয়ামরুম ফংখি।,mni,enxx
283,"If you have additional travel time, check to see how your total fare quote to Africa compares with a round-the-world fare.","অদোম্না লমকোয়বগী অহেনবা মতম লৈরবদি, অদোম্না অফ্রিকাদা চৎপদা চঙবা অদোমগী অপুনবা মমলগা মালেম শিনবা থুংনা চৎপগী মমলগা কয়া য়াম্না খেন্নৈ হায়বা খঙদোকউ।",mni,enxx
284,"For a long time during the nineteenth and twentieth centuries, it was believed the first inhabitants of New Zealand were the Maori people, who hunted giant birds called moas.","তরামাপল অমসুং কুনশুবা চহি চাগী মনুংগী শাংলবা মতম অমদা, ন্যু জিলেন্দদা ইহান হান্না খুন্দা লৈতাখিবশিং অসি মাওরীশিংনি হায়না থাজনরম্মি অমসুং মখোয়না মাও কৌবা অচৌবা উচেকপু শাদাল্লম্মি।",mni,enxx
285,"Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module.",ইং 1969গী মে থাদা এপোলো X কম্মান্দ মোদ্যুলনা হল্লকপদা থমখিবা মমাংগী রেকোর্দ থুগায়দুনা স্তার্দস্তনা পৃথিবীদা খ্বাইদগী খোঙজেল য়াঙনা হল্লকপগী মতম পুম্বগী ওইবা অনৌবা রেকোর্দ অমা থম্লগনি।,mni,enxx
286,"One of the panes finally broke, and they started to get out by the window,"" said survivor Franciszek Kowal.","""মমৈদা থোংনাউগী গ্লাস অমদি কায়রকখি, অমসুং মখোয়না থোংনাউ অদুদগী মপান্দা থোকপা হৌখি,"" হিংহৌবা ফ্রেন্সিসজেক কোৱালনা হায়খি।",mni,enxx
287,Each show would also provide recommendations for books that children should look for when they went to their library.,শো অমমমনা অঙাংশিংনা মখোয়গী লাইব্রেরীদা চৎপা মতমদা করম্বা লাইরিক খনগদবগে হায়বসু তাকই।,mni,enxx
288,"The cell is the basic unit of all living things, and all organisms are composed of one or more cells.","সেল হায়বসি থৱাই পানবশিংগী খ্বাইদগী পিকপা মরুওইবা য়ুনিৎনি, অমসুং জিব খুদিংমক সেল অমা নৎত্রগা অমদগী হেনবনা শাই।",mni,enxx
289,You can mark the passing of time yourself by observing the repetition of a cyclical event. A cyclical event is something that happens again and again regularly.,অমুক হন্না থোকপা থৌদোক্না হঞ্জিল্লকপা য়েংদুনা ঐখোয় ইশানা মতম হৌখিবগী থৌওং য়েংবা য়াগনি।অমুক হন্না থোকপা থৌদোক হায়বদি মতম নাইনা হঞ্জিন-হঞ্জিন্ননা থোকপা থৌদোকশিংবুনি।,mni,enxx
290,"In essence, the Renaissance made a significant change in the approach to learning and the dissemination of knowledge.","মরুওইনা, রিনাইসেন্সনা ৱাখল লৌশিং তানশিনবা অমসুং তাকথোকপগী লম্বীদা অচৌবা অহোংবা অমা পুরকখি।",mni,enxx
291,"These scarps were found all over the moon and appear to be minimally weathered, indicating that the geologic events that created them were fairly recent.",মসিগী স্কার্পশিং অসি থাগী লৈমাই পুম্বদা ফংই অমসুং মসি সেমখিবা জিওলোজিকেলগী ওইবা মওং অদু ইকুই কুইদ্রি হায়না তাক্লদুনা নুংশিৎ নুংশা মরাং কাইনা য়ৈদ্রিবা ফীভমদা লৈ।,mni,enxx
292,Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,দিরেক্তিংগী ৱাংমদা ভোতীয়রগী মাই পাকপশিংদা মহাক্না পোলিতিকেল সেন্সরশিপ ওইনা উরিবদুগী মায়োক্তা 1973দা চত্থখিবা চরা হেনবগী খোঙজং অমসু মনুং চল্লি।,mni,enxx
293,"""The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""","""CCTV অদুনা শাশিংগী ওইবা থবক শুরিবা মীওইশিংদা মখোয়গী য়াইফবনা খ্বাইদগী হেন্না মরুওই হায়বা ৱাখল্লোন অসি শোইদনা পোকহনগনি।""",mni,enxx
294,"The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes.","ৱাইত সী- বালতিক কেনেলনা অর্ক্তিক ওসীনবু ওনেগা পাৎ, লাদোগা পাৎ অমসুং সেন্ত পীতর্সবর্গ ফাওদুনা বালতিক সীগা তুরেল অমসুং পাৎশিংগী খুত্থাংদা শম্নৈ।",mni,enxx
295,Gridley or Stark placed a stake about 100 feet (30 m) in front of the fence and ordered that no one fire until the regulars passed it.,গ্রিদলী নৎত্রগা স্তার্কনা ফুৎ 100লোম (30 m) শাংবা পনখৈ অমা লানবন অদুগী মমাংদা থমখি অদুগা মীচমশিংনা মদুদা লান্থোক্ত্রিবফাওবা নোংমৈ কাপ্পা য়ারোই হায়না য়াথং পীখি।,mni,enxx
296,"""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.","লাইবক ফবদগী ঐঙোন্দদি করিসু থোকখিদে, অদুবু মীয়াম্না থোংনাউ থুগাইদুনা থোক্নবা হোৎনখিবা অদু ঐহাক্না অঙকপা ওইনা উখি।",mni,enxx
297,"The study found that depression, fear and catastrophising mediated the relationship between pain and disability in lower back pain sufferers.","নৈনরুবা অমদগী ফংলকপদা দিপ্রেসন, অকি-অখং নংবা অমসুং হেঞ্জিন্না খুদোংথিনিংঙাই ওইবা মওংদা খঞ্জিনবা অসিনা মখা থংবা খ্বাংগী শরুক্তা নাবা মীওইশিংদা অনাবা অমসুং অশোকপা অদুগী মরীদা চৈথেং পীগনি হায়বা তাক্লি।",mni,enxx
298,A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit.,হোস্পিতেলিতী ‌এক্সচেঞ্জ নেৎৱর্ক অসি ত্রেবেলরশিংবু মখোয়না চৎকদৌরিবা শহরশিং অদুগী লোকেলশিংগী কনেক্ত তৌরিবা ওর্গনাইজেসন অমনি।,mni,enxx
299,Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too.,হোস্তেলশিংনা অয়াম্বনা নহা ওইরিবা মী ওইশিংদা লৈফম পী- চহি কুনগী শুরবা তশেংবা মীথুংলেন অমদা - অদুবু অদোম্না মফমশিং অসিদা চহি য়াম্লবা ত্রেবেলরশিংসু থেংনবা য়াওগনি।,mni,enxx
300,"Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement.", শ্রী রুদনা ক্যোতো ক্লাইমেৎ এক্কোর্দতা খুৎয়েক পীনবা ৱারেপ লৌখিবা অসিনা য়ানচে অসিবু য়ানীংদবা চাউখৎপা লৈবাক অমখক্তা ওইরগদবা য়ুনাইতেদ স্তেৎসপু তোঙান্না তাহল্লে।,mni,enxx
301,"When you're on a staycation, you have the time to treat yourself and take a few extra minutes to brew up something special.","অদোম্না স্তেকেসন তৌবা মতমদা, ইশাবু নুংঙাইহন্নবগীদমক্তা কাইথোকপা য়াবা মতম লৈ অমসুং অখন্নবা চা-কোফী শেম-শানবা অহেনবা মতম লৌ।",mni,enxx
302,"Even standing amidst thousand year-old ruins it is easy to bring to mind the sounds and smells of battles long gone, to almost hear the clatter of hooves on the cobbles and to smell the fear rising from the dungeon pits.","চহি লিশিং কয়াগী কায়থরক্লবা মফমশিংদা লেপ্তুনা লৈরবসু, মতম কয়াগী মমাংদা শোক্নখ্রবা লালগী মখোল অমসুং মনম কয়াবু ৱাখল্লোন্দা লায়না লাকহন্দুনা শগোলগী মখোল তাবা অমসুং লৈনুংদা শাবা কৈশুম শঙগী মনুংদগী থোক্লকপা অকীবগী মনম নম্বা ঙমহল্লি।",mni,enxx
303,The first economic reforms were made under the leadership of Deng Xiaoping.,অহানবা ইকোনোমিক রিফোর্মশিং অদু দেং জ্যাওপিলংগী লমজীং মখাদা শেমখি।,mni,enxx
304,The gas becomes thinner as you go farther from the center of the Sun.,নুংশিৎ অসি অদোম্না নুমিত্তগী লাপথোক্লক্লিবা মখৈ পাথরকই।,mni,enxx
305,Participating countries present artistic and educational displays in national pavilions to showcase world issues or their country's culture and history.,শরুক য়ারিবা লৈবাকশিংনা নেস্নেল পেভিলিয়নশিংদা মালেমগী সমস্যাশিং নত্ত্রগা মখোয়গী লৈবাক্কী চৎনবী অমসুং পুৱারী উৎনবা আর্তিস্তিক অমসুং এজুকেসনগী ওইবা দিস্প্লেশিং তৌই।,mni,enxx
306,"Seeing the sites and wildlife of the Galapagos is best done by boat, just as Charles Darwin did it in 1835.",1835তা চার্ল্স দারৱিন্না তৌখিবা অদুগুম্না গলাপগোসকী মফমশিং অমসুং লমলক্কী শা-উচেক অসি হী তোংলবদি নীংথিনা য়েংবা য়াই।,mni,enxx
307,"In the past 20 years, the amount of child-friendly options in Uptown Charlotte has grown exponentially.",মমাংগী চহি 20 অসিদা অপ্তাউন চার্লোত্তা অঙাংশিংনা নুংঙাইগদবা মফমগী চাং অসি য়াম্না হেনগৎলক্লি।,mni,enxx
308,"As mentioned above, though the word ""Eskimo"" remains acceptable in the United States, it is considered pejorative by many non-U.S. Arctic peoples, especially in Canada.","মথক্তা পনখিবগুম্না, ""এস্কিমো"" হায়বা ৱাহৈ অসি য়ূনাইতেদ স্তেৎসতা চৎনরবসু, নোন-য়ু.এস. আর্ক্তিক্কী মীওইশিং, মরু ওইনা কেনাদা, অসিনা থাক হন্থনা লৌই।",mni,enxx
309,There are many different film formats that have been used over the years. Standard 35 mm film (36 by 24 mm negative) is much the commonest.,চহি কয়া অসিদা শীজিন্নবা তোঙান-তোঙানবা ফিল্ম ফোর্মেৎ কয়মরুম লৈ।স্তেন্দর্দ 35 mm ফিল্ম (36 বাই 24 mm নেগেতিব) অসি খ্বাইদগী শীজিন্নৈ।,mni,enxx
310,"The advice assumes that travellers do not steal, trespass, participate in the illegal market, beg, or otherwise exploit other people for their own gain.","পাউতাক অসিনা লমকোইবদু হুরান চিন্থী য়াওদবা, আইন লান্না চঙশিনবা, আইন্না য়াদবা কৈথেলদা চঙদবা, নিদবা, নৎত্রগা মশাগী কান্ননবগীদমক অতোপ্পা অমা মাংহনলরোই হায়না লৌই।",mni,enxx
311,"Troops reinforcing the forward positions included the 1st and 3rd New Hampshire regiments of 200 men, under Colonels John Stark and James Reed (both later became generals).",মমাংথংবা শরুক্তা মপাঙ্গল হাপচিল্লিবা লান্মীশিং অদুগী মরক্তা কোলোনেল জোন স্তার্ক অমসুং জেইম্স রীদ (অনিমক মতুং তারকপদা জেনরেল ওইখি) অনি অসিগী মখাদা মীওই 200না শাবা অহানবা অমসুং অনিশুবা ন্যু হেম্পশাইয়র রেজিমেন্তশিং য়াওখি।,mni,enxx
312,This theory contradicts the claim that the moon is completely devoid of geologic activity.,মসিগী থিওরী অসিনা থা অসি জিওলোজিকেল এক্তিবিতীনা মরম ওইরগা মপুংফানা দিভোইদ ওই হায়বা ৱাফম অদুগা খেন্নখি।,mni,enxx
313,"However, in June 1956, Krushchev's promises were put to the test when riots in Poland, where workers were protesting against food shortages and wage cuts, turned into a general protest against Communism.",অদুমওইনমক 1956কী জুনদা পোলেনদা খুৎশুমল ককপা অমসুং চানবা ৱাৎলকপগী মায়োক্তা হৌখিবা ইরাং অদুনা কম্ম্যুনিজমগী মায়োক্তা মীয়ামগী ওইবা ইহৌ অমা ওইনা ওইরকখিবা মতমদা ক্রুসচেবনা ৱাশকখিবশিং অসিগী মথৌ পাংথোকপগী চাং য়েংবগী মতম ওইখি।,mni,enxx
314,"Unlike other primates, hominids no longer use their hands in locomotion or bearing weight or swinging through the trees.","অতোপ্পা প্রাইমেতশিংগা মান্নদবা মওংদা, হোমিনিদশিংনা মখোয়গী মপাম্বোম মরেংশিং অদু লেংবা-চৎপদা নৎত্রগা মশাগী অরুম্বা চাং পুবদা নৎত্রগা উশা-ৱাশাদা য়ান্দুনা হাইবদা শিজিন্নরকখিদরে।",mni,enxx
315,"When the official arrived, the apartment exploded.",ওফিএল অদুনা য়ৌরকপগা য়ুম (এপার্তমেন্ত) অদু পোখাইখি।,mni,enxx
316,Two beams of light have been rigged up to point skywards overnight.,মঙালগী বীম অনিবু নুমিদাং চুপ্পা মথক্তা কাপখত্তুনা থম্নবা শেমখ্রে।,mni,enxx
317,"You could find yourself being used as a drug carrier without your knowledge, which will land you in a great deal of trouble.","অদোম্না অদোম ইশাবু অদোম ইশা খঙদনা দ্রগ পুবা মীশক অমা ওইহনবীরম্বসু য়াওবা য়াই, মসিনা অদোম অদুক্কী মতীক খুদোংথীবা মফমদা তাবা য়াই।",mni,enxx
318,"Families with small children may need more preparations, but a day outdoors is easily possible even with babies and pre-school children.","অপীকপা অঙাং য়াওবা ইমুংশিংদি খরা হেন্না শেম শাবা অমা চঙবা য়াই, অদুবু দে আউৎদোর অমদি অঙাং অমসুং স্কুল কাদ্রিবা অঙাং য়াওরবসু ইরাই লাইনা ঙমগনি।",mni,enxx
319,The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,NBAগী ৱারেপ অসি য়ুতা জেস প্লেয়র অমা কোবিদ-19 ভাইরস পোজিতিব ওইরকপদগী লৌখিবনি।,mni,enxx
320,"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.","ওলেম্পিক শনাগী তকমান অনি লৌখিবা জপানগী জুদো শান্নবা হিতোশি সাইতো, চহি 54দা শিখি।",mni,enxx
321,He was immediately attended to by the on-track medical staff and transported to a local hospital where he later died.,মহাকপু খুদক অদুমক্তদা ওন-ত্রেক্কী মেদিকেল স্তাফনা য়েংখি অমসুং মহাক্না মতুংদা শীখিবা মফম অদুগী অনা লায়েংশঙ অমদা পুখৎখি।,mni,enxx
322,Some of the rainfall was accompanied by thunderstorms and frequent lightning.,নোং খরদি খাকপা লাওবা অমসুং তোয়না নোং মমিৎ ফাকপগা লোয়ননা চুখি।,mni,enxx
323,"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.",মসিগা মনুংদা শেল-থুমগী অথিংবা অমসুং ইরানগী শেন্মিৎলোন্না মখোয়গী ফোরেন ইনকমগী 80%গী চাংদা ফংলিবা শুংদোক্ত্রিবা থাউ মপান্দা থাদোরকপদা য়ুরোপিয়ন য়ুনিয়ন্না অথিংবা থম্বা য়াওরি।,mni,enxx
324,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",পিৎমেনগী মতুং ইন্না পেক আইসকী মশিং অমসুং থাবগী চাং অসি মমাংগী চহি 15দগী হৌনা মখুম খুমজিন্নবা হোৎনবা মীওইশিংদা অচৌবা অয়েৎপা অমা ওইদুনা লাক্লি।,mni,enxx
325,"The report showed test scores had increased implausibly fast, and alleged the school internally detected problems but didn't act on the findings.","রিপোর্ত অদুনা তেস্ত স্কোরশিং অদু থাজবদা ৱানা থোকপা মওংদা থুনা হেনগৎলকখি হায়না উৎখি, অমসুং স্কুম অদুগী মনুংগী ওইবা অশোইবশিং লৈরে হায়না মরাল শীখি অদুবু থীজিনবগী থবক্তি পাইখৎখিদে।",mni,enxx
326,"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",Il-76 অসি ইং 1970গী মতমদগী হৌনা রসিয়া অমসুং সোভিএৎ মিলিতরীগী মরু ওইবা পোৎশক অমা ওইদুনা লাক্লি অমসুং মমাং থাদা য়াম্না চাউবা শোয়দুনা থোকপা খুদোংথীবগী থৌদোক অমসু থোকখ্রে।,mni,enxx
327,"There are many different constructions of eyes, ranging in complexity depending on the requirements of the organism.","মিৎ হায়বসি শাগৎপদা তোঙান-তোঙানবা মখল কয়াগী মওং লৈ, অহিংবা জিব অদুগী তঙাইফদনা চংলিবশিং অদুগী মতুংইন্না মওং-মরিলদা খেন্নবা কয়া অমা লৈ।",mni,enxx
328,"For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry.","ইহান-অহানবা ওইনা, হৌখিবা চহিদা চাইনানা জর্মনীদগী কার মশীং হেন্না মপান্দা থাদোকখি অমসুং ইন্দস্ত্রী অসিগী খ্বাইদগী চাওবা কৈথেল ওইনা য়ুনাইতেৎ স্তেতস্তগী হেনখি।",mni,enxx
329,"For that reason, everything you see on the TV had the borders cut, top, bottom and sides.","মরম অসিগীদমক্তা, অদোম্না TV দা উবা খুদিংমক মথক, মখা অমসুং নাকলগী মতাইশিং কক্লিবনি।",mni,enxx
330,"Pureland origami is origami with the restriction that only one fold may be done at a time, more complex folds like reverse folds are not allowed, and all folds have straightforward locations.","প্যোর্লেন্দ ওরিগেমী হায়বসি অমুক্তা চেথুপ অমখক থুপ্পা য়াবা, অমুক হন্দোক্তুনা থুপ্পা য়াদবা অদুগুম্বা হেন্না কমপ্লেক্স ওইবা, অমসুং থুপ্লবা চেথুপ খুদিংমক্কী চুমদ্রিং চুম্না য়ৌগদবা মফমশিং লৈগনি হায়বনচিংবা পনখৈ কয়া লৈবা ওরিগেমী মখলনি।",mni,enxx
331,"Although its physical state may change, its chemical state remains the same.","মসিগী মিৎনা উবা মওং অসি হোংবা য়ারবসু, মসিগী কেমিকেলগী মওংদি চপ মান্ননা লৈ।",mni,enxx
