en,mni-Mtei
"kittens would fail as a balm for griefs like this, Jo wrathfully","ꯑꯁꯤꯒꯨꯝꯕꯥ ꯑꯋꯥꯕꯁꯤꯡꯒꯤ ꯕꯥꯝ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯀꯤꯇꯅꯁꯤꯡꯅꯥ ꯃꯥꯌ ꯄꯥꯀꯄꯥ ꯉꯃꯒꯅꯤ, ꯖꯣ ꯋꯥꯈꯜ ꯋꯥꯕꯥ"
"proposed that Mr. Davis be arrested without delay, and Hannah","ꯁ꯭ꯔꯤ ꯗꯦꯕꯤꯁꯄꯨ ꯊꯦꯡꯊꯅꯥ ꯐꯥꯒꯠꯅꯕꯥ ꯋꯥꯐꯝ ꯊꯃꯈꯤ, ꯑꯃꯁꯨꯡ ꯍꯥꯟꯅꯥ ."
shook her fist at the ‘villain’ and pounded potatoes for dinner as,‘ꯚꯤꯂꯦꯟ’ꯗꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯈꯨꯠ ꯁꯣꯛꯂꯒꯥ ꯅꯨꯃꯤꯗꯥꯡꯒꯤ ꯆꯥꯛ ꯆꯥꯕꯥ ꯃꯇꯃꯗꯥ ꯑꯥꯂꯨ ꯊꯥꯗꯨꯅꯥ .
if she had him under her pestle,ꯀꯔꯤꯒꯨꯝꯕꯥ ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯃꯍꯥꯛꯀꯤ ꯄꯦꯁ꯭ꯇꯦꯂꯒꯤ ꯃꯈꯥꯗꯥ ꯊꯝꯂꯕꯗꯤ .
121,꯱꯲꯱ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"No notice was taken of Amy’s flight, except by her mates, but","ꯑꯦꯃꯤꯒꯤ ꯐ꯭ꯂꯥꯏꯠꯀꯤ ꯅꯣꯇꯤꯁ ꯑꯃꯠꯇꯥ ꯂꯧꯈꯤꯗꯦ, ꯃꯍꯥꯛꯀꯤ ꯃꯔꯨꯄꯁꯤꯡꯅꯥ ꯅꯠꯇꯅꯥ, ꯑꯗꯨꯕꯨ ."
the sharp-eyed demoiselles discovered that Mr. Davis was quite,ꯁꯥꯔꯞ-ꯑꯥꯏꯗꯦꯗ ꯗꯦꯃꯣꯏꯁꯦꯂꯁꯤꯡꯅꯥ ꯁ꯭ꯔꯤ ꯗꯦꯕꯤꯁ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯋꯥꯡꯏ ꯍꯥꯌꯕꯥ ꯈꯉꯈꯤ ꯫
"benignant in the afternoon, also unusually nervous. Just before","ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯃꯗꯥ ꯕꯦꯅꯤꯐꯤꯁꯔꯤ, ꯃꯍꯧꯁꯥꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯋꯥꯈꯜ ꯋꯥꯕꯥ꯫"
"school closed, Jo appeared, wearing a grim expression as she","ꯁ꯭ꯀꯨꯜ ꯂꯣꯏꯁꯤꯅꯈꯤ, ꯖꯣꯅꯥ ꯂꯥꯀꯈꯤ, ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯇꯃꯗꯥ ꯒ꯭ꯔꯤꯝ ꯑꯦꯛꯁꯞꯔꯦꯁꯟ ꯑꯃꯥ ꯁꯣꯛꯅꯈꯤ"
"stalked up to the desk, and delivered a letter from her mother,","ꯗꯦꯁ꯭ꯀꯇꯥ ꯂꯥꯀꯄꯥ, ꯑꯃꯁꯨꯡ ꯃꯃꯥꯗꯒꯤ ꯆꯤꯊꯤ ꯑꯃꯥ ꯄꯤꯔꯀꯈꯤ,"
"then collected Amy’s property, and departed, carefully scraping","ꯑꯗꯨꯗꯒꯤ ꯑꯦꯃꯤꯒꯤ ꯄ꯭ꯔꯣꯄꯔꯇꯤ ꯈꯣꯃꯖꯤꯜꯂꯀꯈꯤ, ꯑꯃꯁꯨꯡ ꯆꯠꯈꯤ, ꯆꯦꯀꯁꯤꯟꯅꯥ ꯁꯦꯃꯖꯤꯟ ꯁꯥꯖꯤꯅꯈꯤ"
"the mud from her boots on the door mat, as if she shook that","ꯊꯣꯡꯒꯤ ꯃꯊꯛꯇꯥ ꯂꯩꯕꯥ ꯃꯍꯥꯛꯀꯤ ꯕꯨꯠꯇꯒꯤ ꯂꯥꯀꯄꯥ ꯃꯩꯁꯥ ꯑꯗꯨ, ꯃꯍꯥꯛꯅꯥ ꯃꯗꯨ ꯍꯨꯃꯗꯨꯅꯥ ꯂꯩꯕꯒꯨꯝ ."
dust of the place off her feet,ꯃꯍꯥꯛꯀꯤ ꯈꯣꯡꯗꯥ ꯂꯩꯕꯥ ꯃꯐꯝ ꯑꯗꯨꯒꯤ ꯃꯩꯁꯥ
"‘Yes, you can have a vacation from school, but I want you to","‘ꯍꯣꯌ, ꯅꯉꯅꯥ ꯁ꯭ꯀꯨꯂꯗꯒꯤ ꯁꯨꯇꯤ ꯂꯧꯕꯥ ꯌꯥꯏ, ꯑꯗꯨꯕꯨ ꯑꯩꯅꯥ ꯅꯉꯕꯨ ."
"study a little every day with Beth,’ said Mrs. March that evening","ꯕꯦꯊꯀꯥ ꯂꯣꯌꯅꯅꯥ ꯅꯨꯃꯤꯠ ꯈꯨꯗꯤꯡꯒꯤ ꯈꯔꯥ ꯇꯃꯁꯤꯜꯂꯨ,’ ꯍꯥꯌꯅꯥ ꯁ꯭ꯔꯤꯃꯇꯤ ꯃꯥꯔꯆꯅꯥ ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯃꯗꯥ ꯍꯥꯌꯈꯤ"
"‘I don’t approve of corporal punishment, especially for girls. I",‘ꯑꯩꯅꯥ ꯃꯔꯨꯑꯣꯏꯅꯥ ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡꯒꯤꯗꯃꯛ ꯀꯣꯔꯄꯣꯔꯦꯜ ꯄꯅꯤꯁꯃꯦꯟꯇꯀꯤ ꯑꯌꯥꯕꯥ ꯄꯤꯗꯦ꯫
dislike Mr. Davis’s manner of teaching and don’t think the girls,ꯁ꯭ꯔꯤ ꯗꯦꯕꯤꯁꯀꯤ ꯇꯝꯕꯤꯕꯒꯤ ꯃꯑꯣꯡ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯄꯥꯃꯗꯦ ꯑꯃꯁꯨꯡ ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡꯅꯥ .
"you associate with are doing you any good, so I shall ask your","ꯅꯍꯥꯛꯅꯥ ꯃꯔꯤ ꯂꯩꯅꯔꯤꯕꯁꯤꯡ ꯑꯁꯤ ꯅꯈꯣꯌꯗꯥ ꯑꯐꯕꯥ ꯑꯃꯥ ꯇꯧꯔꯤ, ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯑꯩꯅꯥ ꯅꯈꯣꯌꯒꯤ [...]"
father’s advice before I send you anywhere else.’,ꯑꯩꯅꯥ ꯅꯉꯕꯨ ꯑꯇꯣꯞꯄꯥ ꯃꯐꯝ ꯑꯃꯗꯥ ꯊꯥꯗ꯭ꯔꯤꯉꯩ ꯃꯃꯥꯡꯗꯥ ꯃꯄꯥꯒꯤ ꯄꯥꯎꯇꯥꯛ꯫’
"‘That’s good! I wish all the girls would leave, and spoil his old",'ꯃꯗꯨꯗꯤ ꯌꯥꯝꯅ ꯐꯕꯅꯤ!
"school. It’s perfectly maddening to think of those lovely limes,’",ꯃꯍꯩ ꯇꯝꯐꯝꯁꯪ.
"sighed Amy, with the air of a martyr","ꯍꯨꯔꯥꯅꯕꯥ ꯑꯦꯃꯤ, ꯃꯥꯔꯇꯤꯌꯔ ꯑꯃꯒꯤ ꯅꯨꯡꯁꯤꯠꯀꯥ ꯂꯣꯌꯅꯅꯥ"
"‘I am not sorry you lost them, for you broke the rules, and","‘ꯑꯩꯍꯥꯛ ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯐꯥꯑꯣꯗꯦ ꯅꯈꯣꯌꯅꯥ ꯃꯈꯣꯌꯁꯤꯡ ꯑꯗꯨ ꯃꯥꯡꯈꯤ, ꯃꯔꯃꯗꯤ ꯅꯈꯣꯌꯅꯥ ꯅꯤꯌꯃꯁꯤꯡ ꯊꯨꯒꯥꯏꯈꯤ, ꯑꯃꯁꯨꯡ ."
"deserved some punishment for disobedience,’ was the severe","ꯋꯥꯌꯦꯜ ꯌꯥꯊꯪ ꯉꯥꯀꯄꯒꯤ ꯆꯩꯔꯥꯛ ꯈꯔꯥ ꯄꯤꯕꯥ,’ ꯍꯥꯌꯕꯁꯤ ꯌꯥꯝꯅꯥ ꯁꯥꯊꯤꯕꯥ ꯊꯧꯗꯣꯛ ꯑꯃꯅꯤ꯫"
"reply, which rather disappointed the young lady, who expected","ꯔꯤꯞꯂꯥꯏ, ꯃꯗꯨꯒꯤ ꯃꯍꯨꯠꯇꯥ ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯅꯨꯄꯤ ꯑꯗꯨꯕꯨ ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯐꯥꯑꯣꯈꯤ, ꯃꯍꯥꯛꯅꯥ ꯊꯥꯖꯈꯤ"
nothing but sympathy,ꯁꯤꯝꯄꯇꯤ ꯅꯠꯇꯕꯥ ꯀꯔꯤꯁꯨ .
‘Do you mean you are glad I was disgraced before the whole,‘ꯑꯗꯣꯝꯅꯥ ꯍꯥꯌꯔꯤꯕꯁꯤ ꯑꯗꯣꯝꯅꯥ ꯅꯨꯡꯉꯥꯏꯖꯔꯦ ꯃꯗꯨꯗꯤ ꯑꯩꯍꯥꯛ ꯄꯨꯝꯅꯃꯛ ꯑꯁꯤꯒꯤ ꯃꯃꯥꯡꯗꯥ ꯗꯤꯁꯒ꯭ꯔꯦꯁ ꯇꯧꯈꯤ
school?’ cried Amy,ꯁ꯭ꯀꯨꯜ?’ ꯍꯥꯌꯅꯥ ꯀꯞꯅꯥ ꯑꯦꯃꯤ .
122,꯱꯲꯲ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"‘I should not have chosen that way of mending a fault,’ replied",‘ꯑꯩꯍꯥꯛ ꯑꯁꯣꯏꯕꯥ ꯑꯃꯥ ꯃꯦꯟꯗꯤꯡ ꯇꯧꯕꯒꯤ ꯃꯑꯣꯡ ꯑꯗꯨ ꯈꯅꯒꯗꯕꯅꯤ’ ꯍꯥꯌꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯈꯤ
"her mother, ‘but I’m not sure that it won’t do you more good","ꯃꯍꯥꯛꯀꯤ ꯃꯃꯥ, ‘ꯑꯗꯨꯕꯨ ꯑꯩꯅꯥ ꯊꯥꯖꯩ ꯃꯗꯨꯗꯤ ꯃꯁꯤꯅꯥ ꯅꯉꯕꯨ ꯍꯦꯟꯅꯥ ꯐꯕꯥ ."
"than a molder method. You are getting to be rather conceited,",ꯃꯣꯜꯗꯔ ꯃꯦꯊꯗ ꯑꯃꯗꯒꯤ ꯍꯦꯟꯅꯥ꯫
"my dear, and it is quite time you set about correcting it. You","ꯑꯩꯒꯤ ꯅꯨꯡꯁꯤꯔꯕꯥ ꯏꯔꯩꯕꯥꯀꯆꯥꯁꯤꯡ, ꯑꯃꯁꯨꯡ ꯃꯁꯤ ꯑꯗꯣꯝꯅꯥ ꯃꯁꯤꯕꯨ ꯆꯨꯃꯊꯣꯛꯅꯕꯥ ꯁꯦꯝ ꯁꯥꯕꯥ ꯃꯇꯝ ꯑꯗꯨ ꯌꯥꯝꯅꯥ ꯋꯥꯡꯏ꯫"
"have a good many little gifts and virtues, but there is no need of","ꯑꯐꯕꯥ ꯑꯄꯤꯀꯄꯥ ꯈꯨꯗꯣꯜ ꯀꯌꯥ ꯑꯃꯁꯨꯡ ꯒꯨꯟ ꯀꯌꯥ ꯂꯩ, ꯑꯗꯨꯕꯨ ꯃꯗꯨꯒꯤ ꯃꯊꯧ ꯇꯥꯗꯦ꯫"
"parading them, for conceit spoils the finest genius. There is not","ꯃꯈꯣꯌꯕꯨ ꯄꯦꯔꯦꯗ ꯇꯧꯕꯥ, ꯃꯔꯃꯗꯤ ꯀꯟꯁꯦꯏꯠꯅꯥ ꯈ꯭ꯕꯥꯏꯗꯒꯤ ꯐꯕꯥ ꯖꯤꯅꯤꯁ ꯑꯗꯨ ꯁꯣꯀꯍꯜꯂꯤ꯫"
much danger that real talent or goodness will be overlooked,ꯑꯁꯦꯡꯕꯥ ꯇꯦꯂꯦꯟꯇ ꯅꯠꯔꯒꯥ ꯑꯐꯕꯥ ꯑꯁꯤ ꯌꯦꯡꯁꯤꯅꯕꯤꯕꯥ ꯌꯥꯕꯥ ꯈꯨꯗꯣꯡꯊꯤꯕꯥ ꯀꯌꯥ .
"long, even if it is, the consciousness of possessing and using it","ꯂꯝꯕꯥ, ꯀꯔꯤꯒꯨꯝꯕꯥ ꯑꯣꯏꯔꯕꯁꯨ, ꯃꯗꯨꯕꯨ ꯂꯧꯁꯤꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯁꯤꯖꯤꯟꯅꯕꯒꯤ ꯋꯥꯈꯜꯂꯣꯟ ꯑꯗꯨ ."
"well should satisfy one, and the great charm of all power is","ꯋꯦꯜ ꯁꯣꯠ ꯁꯦꯇꯤꯁꯐꯥꯏ ꯑꯃꯥ, ꯑꯃꯁꯨꯡ ꯄꯥꯋꯔ ꯄꯨꯝꯅꯃꯛꯀꯤ ꯑꯆꯧꯕꯥ ꯃꯤꯠꯌꯦꯡ ꯑꯁꯤ ."
modesty.’,ꯃꯣꯗꯦꯁ꯭ꯇꯤ꯫’
"‘So it is!’ cried Laurie, who was playing chess in a corner with Jo",‘ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯃꯁꯤꯅꯤ!’ ꯖꯣꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯀꯣꯟꯅꯥ ꯆꯦꯁ ꯁꯥꯟꯅꯔꯝꯕꯥ ꯂꯧꯔꯤꯅꯥ ꯀꯞꯅꯥ ꯍꯥꯌꯔꯀꯏ꯫
"‘I knew a girl once, who had a really remarkable talent for","‘ꯑꯩꯅꯥ ꯅꯨꯄꯤꯃꯆꯥ ꯑꯃꯥ ꯑꯃꯨꯛ ꯍꯟꯅꯥ ꯈꯉꯂꯝꯃꯤ, ꯃꯍꯥꯛꯅꯥ ꯇꯁꯦꯡꯅꯥ ꯁꯤꯡꯊꯥꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕꯥ ꯇꯦꯂꯦꯟꯇ ꯑꯃꯥ ꯂꯩꯈꯤ"
"music, and she didn’t know it, never guessed what sweet little","ꯃ꯭ꯌꯨꯖꯤꯛ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯈꯉꯂꯃꯗꯦ, ꯀꯩꯗꯧꯉꯩꯗꯁꯨ ꯈꯉꯂꯃꯗꯦ ꯃꯗꯨꯗꯤ ꯀꯔꯤ ꯁ꯭ꯕꯤꯠ ꯂꯤꯇꯜ ."
"things she composed when she was alone, and wouldn’t have","ꯃꯍꯥꯛꯅꯥ ꯃꯁꯥꯅꯥ ꯃꯁꯥꯕꯨ ꯊꯥꯖꯖꯕꯥ ꯃꯇꯃꯗꯥ ꯁꯦꯃꯈꯤꯕꯥ ꯋꯥꯐꯃꯁꯤꯡ, ꯑꯃꯁꯨꯡ ꯂꯩꯔꯃꯂꯣꯏ꯫"
believed it if anyone had told her.’,ꯀꯅꯥꯒꯨꯝꯕꯥ ꯑꯃꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯍꯥꯌꯔꯝꯂꯕꯗꯤ ꯊꯥꯖꯈꯤ꯫’
‘I wish I’d known that nice girl. Maybe she would have helped,‘ꯑꯩꯍꯥꯛ ꯌꯥꯝꯅꯥ ꯐꯖꯕꯥ ꯅꯨꯄꯤꯃꯆꯥ ꯑꯗꯨ ꯈꯉꯂꯃꯒꯅꯤ ꯍꯥꯌꯅꯥ ꯊꯥꯖꯩ꯫
"me, I’m so stupid,’ said Beth, who stood beside him, listening","ꯑꯩ, ꯑꯩ ꯑꯁꯨꯛ ꯌꯥꯝꯅꯥ ꯂꯨꯕꯥ ꯃꯤꯁꯛ ꯑꯃꯅꯤ,’ ꯍꯥꯌꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯅꯥꯛꯇꯥ ꯂꯦꯞꯂꯒꯥ ꯇꯥꯕꯥ ꯕꯦꯊꯅꯥ ꯍꯥꯌꯔꯀꯏ"
eagerly,ꯌꯥꯝꯅꯥ ꯊꯋꯥꯏ ꯌꯥꯑꯣꯅꯥ .
"‘You do know her, and she helps you better than anyone else","‘ꯅꯍꯥꯛꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯈꯉꯏ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯅꯍꯥꯀꯄꯨ ꯑꯇꯣꯞꯄꯥ ꯀꯅꯥꯒꯨꯝꯕꯥ ꯑꯃꯠꯇꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯃꯇꯦꯡ ꯄꯥꯡꯏ"
"could,’ answered Laurie, looking at her with such mischievous","could,’ ꯍꯥꯌꯅꯥ ꯂꯧꯔꯤꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯈꯤ, ꯃꯍꯥꯀꯄꯨ ꯑꯁꯤꯒꯨꯝꯕꯥ ꯃꯤꯁꯀꯁꯤꯡ ꯑꯁꯤꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯌꯦꯡꯂꯒꯥ"
meaning in his merry black eyes that,ꯑꯔꯊꯗꯤ ꯃꯍꯥꯛꯀꯤ ꯃꯦꯔꯤ ꯕ꯭ꯂꯦꯛ ꯑꯥꯏꯁ ꯑꯗꯨ .
"Beth suddenly turned very red, and hid her face in the sofa","ꯕꯦꯊ ꯈꯉꯍꯧꯗꯅꯥ ꯌꯥꯝꯅꯥ ꯂꯥꯂꯍꯧꯈꯤ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯃꯐꯝ ꯑꯗꯨ ꯁꯣꯐꯥꯗꯥ ꯂꯣꯠꯁꯤꯅꯈꯤ"
"cushion, quite overcome by such an unexpected discovery","ꯀꯨꯁꯟ, ꯑꯁꯤꯒꯨꯝꯕꯥ ꯃꯈꯂꯒꯤ ꯊꯥꯖꯗꯕꯥ ꯗꯤꯁ꯭ꯀꯣꯚꯔꯤ ꯑꯃꯅꯥ ꯌꯥꯝꯅꯥ ꯃꯥꯏꯊꯤꯕꯥ ꯄꯤꯕꯥ"
123,꯱꯲꯳ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"Jo let Laurie win the game to pay for that praise of her Beth,","ꯖꯣꯅꯥ ꯂꯧꯔꯤꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯕꯦꯊꯀꯤ ꯊꯥꯒꯠꯄꯥ ꯑꯗꯨꯒꯤꯗꯃꯛ ꯁꯦꯜ ꯊꯥꯗꯅꯕꯥ ꯒꯦꯝ ꯑꯗꯨ ꯃꯥꯏ ꯄꯥꯀꯍꯅꯈꯤ,"
who could not be prevailed upon to play for them after her,ꯀꯅꯥꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯇꯨꯡꯗꯥ ꯃꯈꯣꯌꯒꯤꯗꯃꯛ ꯁꯥꯟꯅꯅꯕꯥ ꯃꯥꯏ ꯄꯥꯀꯄꯥ ꯉꯃꯈꯤꯗ꯭ꯔꯤꯕꯅꯣ .
"compliment. So Laurie did his best, and sang delightfully, being",ꯊꯥꯒꯠꯄ.
"in a particularly lively humor, for to the Marches he seldom","ꯑꯈꯟꯅꯅꯥ ꯍꯤꯡꯂꯤꯕꯥ ꯍꯨꯃꯥꯡ ꯑꯃꯗꯥ, ꯃꯔꯃꯗꯤ ꯃꯍꯥꯛꯅꯥ ꯌꯥꯝꯅꯥ ꯊꯨꯅꯥ ꯌꯥꯡꯅꯥ ꯆꯠꯄꯥ ꯈꯣꯡꯆꯠꯁꯤꯡꯗꯥ ."
"showed the moody side of his character. When he was gone,",ꯃꯍꯥꯛꯀꯤ ꯁꯛꯇꯃꯒꯤ ꯃꯨꯗꯤ ꯁꯥꯏꯗ ꯑꯗꯨ ꯎꯠꯈꯤ꯫
"amy, who had been pensive all evening, said suddenly, as if","ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯃꯒꯤ ꯃꯇꯝ ꯄꯨꯝꯅꯃꯛꯇꯥ ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯥ ꯑꯣꯏꯔꯝꯕꯥ ꯑꯦꯃꯤꯅꯥ ꯈꯉꯍꯧꯗꯅꯥ ꯍꯥꯌꯈꯤ, ꯃꯗꯨꯗꯤ ."
"busy over some new idea, ‘Is Laurie an accomplished boy?’","ꯑꯅꯧꯕꯥ ꯋꯥꯈꯜꯂꯣꯟ ꯈꯔꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯊꯋꯥꯏ ꯌꯥꯑꯣꯕꯥ, ‘ꯂꯧꯎꯔꯤ ꯑꯁꯤ ꯍꯩꯊꯣꯏ-ꯁꯤꯡꯊꯣꯏꯕꯥ ꯅꯨꯄꯥꯃꯆꯥ ꯑꯃꯅꯤ?’꯫"
"‘Yes, he has had an excellent education, and has much talent","‘ꯍꯣꯌ, ꯃꯍꯥꯛꯅꯥ ꯑꯐꯕꯥ ꯃꯍꯩ-ꯃꯁꯤꯡ ꯇꯝꯕꯥ ꯐꯪꯂꯦ, ꯑꯃꯁꯨꯡ ꯇꯦꯂꯦꯟꯇ ꯀꯌꯥ ꯑꯃꯥ ꯂꯩꯔꯤ ."
"He will make a fine man, if not spoiled by petting,’ replied her","ꯃꯍꯥꯛꯅꯥ ꯐꯤꯅꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯥ ꯑꯣꯏꯍꯅꯒꯅꯤ, ꯀꯔꯤꯒꯨꯝꯕꯥ ꯄꯦꯇꯤꯡꯅꯥ ꯁꯣꯀꯍꯜꯂꯣꯏꯗꯕꯗꯤ,’ ꯍꯥꯌꯅꯥ ꯃꯍꯥꯛꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯈꯤ꯫"
mother,ꯃꯃꯥ
"‘And he isn’t conceited, is he?’ asked Amy","‘ꯑꯗꯨꯒꯥ ꯃꯍꯥꯛ ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯅꯠꯇꯦ, ꯃꯍꯥꯛ?’ ꯍꯥꯌꯅꯥ ꯑꯦꯃꯤꯅꯥ ꯍꯪꯈꯤ꯫"
‘Not in the least. That is why he is so charming and we all like,‘ꯑꯃꯠꯇꯥ ꯑꯣꯏꯕꯥ ꯅꯠꯇꯦ꯫
him so much.’ ‘I see. It’s nice to have accomplishments and be,ꯃꯍꯥꯛ ꯑꯁꯨꯛ ꯌꯥꯝꯅꯥ꯫’ ‘ꯑꯩꯅꯥ ꯎꯏ꯫
"elegant, but not to show off or get perked up,’ said Amy","ꯑꯦꯂꯤꯒꯦꯟꯇ, ꯑꯗꯨꯕꯨ ꯎꯠꯄꯥ ꯅꯠꯠꯔꯒꯥ ꯄꯥꯔꯛ ꯇꯧꯕꯥ ꯌꯥꯕꯥ ꯅꯠꯇꯦ,’ ꯍꯥꯌꯅꯥ ꯑꯦꯃꯤꯅꯥ ꯍꯥꯌꯈꯤ꯫"
thoughtfully,ꯋꯥꯈꯜ ꯈꯅꯕꯤꯕꯥ
‘These things are always seen and felt in a person’s manner and,‘ꯋꯥꯐꯃꯁꯤꯡ ꯑꯁꯤ ꯃꯇꯝ ꯄꯨꯝꯅꯃꯛꯇꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯒꯤ ꯃꯑꯣꯡꯗꯥ ꯎꯕꯥ ꯑꯃꯁꯨꯡ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯄꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ .
"conversations, if modestly used, but it is not necessary to","ꯋꯥꯔꯤ ꯁꯥꯅꯕꯥ, ꯀꯔꯤꯒꯨꯝꯕꯥ ꯃꯃꯜ ꯌꯥꯝꯂꯕꯥ ꯁꯤꯖꯤꯟꯅꯔꯕꯗꯤ, ꯑꯗꯨꯕꯨ ꯃꯁꯤ ꯇꯉꯥꯏꯐꯗꯕꯥ ꯑꯣꯏꯗꯦ"
"display them,’ said Mrs. March","ꯃꯈꯣꯌꯁꯤꯡ ꯑꯗꯨ ꯎꯠꯄꯤꯌꯨ,’ ꯍꯥꯌꯅꯥ ꯁ꯭ꯔꯤꯃꯇꯤ ꯃꯥꯔꯆꯅꯥ ꯍꯥꯌꯈꯤ꯫"
‘Any more than it’s proper to wear all your bonnets and gowns,‘ꯑꯗꯣꯃꯒꯤ ꯕꯣꯅꯦꯠ ꯑꯃꯁꯨꯡ ꯒꯥꯎꯟ ꯄꯨꯝꯅꯃꯛ ꯁꯣꯏꯗꯅꯥ ꯁꯣꯏꯕꯥ ꯑꯁꯤ ꯆꯨꯝꯃꯤ꯫
"and ribbons at once, that folks may know","ꯑꯃꯁꯨꯡ ꯔꯤꯕꯅꯁꯤꯡ ꯑꯃꯨꯛ ꯍꯟꯅꯥ, ꯃꯗꯨ ꯃꯤꯌꯥꯝꯅꯥ ꯈꯉꯕꯥ ꯉꯃꯒꯅꯤ ."
"you’ve got them,’ added Jo, and the lecture ended in a laugh","ꯅꯍꯥꯛꯅꯥ ꯃꯈꯣꯌꯁꯤꯡ ꯑꯗꯨ ꯐꯪꯂꯦ,’ ꯍꯥꯌꯅꯥ ꯖꯣꯖꯣꯅꯥ ꯃꯈꯥ ꯇꯥꯅꯥ ꯍꯥꯌꯈꯤ, ꯑꯃꯁꯨꯡ ꯂꯦꯀꯆꯔ ꯑꯗꯨ ꯅꯣꯀꯄꯥ ꯑꯃꯗꯥ ꯂꯣꯏꯁꯤꯅꯈꯤ꯫"
124,꯱꯲꯴ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
C H A P T E R VIII,ꯁꯤ ꯑꯩꯆ ꯑꯦ ꯄꯤ ꯇꯤ ꯏ ꯑꯥꯔ VIII .
"‘Girls, where are you going?’ asked Amy, coming into their room","‘ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡ, ꯀꯗꯥꯌꯗꯥ ꯆꯠꯂꯤꯕꯅꯣ?’ ꯃꯈꯣꯌꯒꯤ ꯔꯨꯃꯗꯥ ꯂꯥꯀꯄꯥ ꯑꯦꯃꯤꯅꯥ ꯍꯪꯈꯤ"
"one Saturday afternoon, and finding them getting ready to go","ꯁꯒꯣꯂꯁꯦꯟ ꯅꯨꯃꯤꯠꯀꯤ ꯅꯨꯃꯤꯗꯥꯡ ꯑꯃꯗꯥ, ꯑꯃꯁꯨꯡ ꯃꯈꯣꯌꯕꯨ ꯆꯠꯅꯕꯥ ꯁꯦꯝ ꯁꯥꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯊꯦꯡꯅꯔꯀꯄꯥ"
out with an air of secrecy which excited her curiosity,ꯃꯍꯥꯛꯀꯤ ꯀ꯭ꯌꯨꯔꯤꯑꯣꯁꯤꯇꯤꯕꯨ ꯅꯨꯡꯉꯥꯏꯍꯅꯈꯤꯕꯥ ꯁꯤꯛꯔꯦꯁꯤꯒꯤ ꯑꯦꯌꯔ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯊꯣꯀꯈꯤ
"‘Never mind. Little girls shouldn’t ask questions,’ returned Jo",'ꯀꯔꯤꯃꯠꯇ ꯈꯜꯂꯨꯅꯨ.
sharply,ꯁꯥꯔꯞꯂꯤ .
